,date, t1, t2, win_percentage1,batting_run_rate1, bowling_economy_rate1, batting_average1, bowling_average1, batting_wicket_rate1, bowling_strike_rate1, batting_index1, bowling_index1,win_percentage2,batting_run_rate2, bowling_economy_rate2, batting_average2, bowling_average2, batting_wicket_rate2, bowling_strike_rate2, batting_index2, bowling_index2,win,zero_count
1,2006-04-23, BANGLADESH, AUSTRALIA,0.25,0.7367491166077739,0.73904576436222,22.540540540540537,14.596153846153848,0.03268551236749117,0.05063291139240506,16.606723331104956,10.787225675979329,0.75,0.9471440750213128,0.9216326530612244,32.676470588235304,19.46551724137931,0.028985507246376805,0.0473469387755102,30.949325510255257,17.94005629838142,0,1
2,2006-04-26, BANGLADESH, AUSTRALIA,0.25,0.7367491166077739,0.73904576436222,22.540540540540537,14.596153846153848,0.03268551236749117,0.05063291139240506,16.606723331104956,10.787225675979329,0.75,0.9471440750213128,0.9216326530612244,32.676470588235304,19.46551724137931,0.028985507246376805,0.0473469387755102,30.949325510255257,17.94005629838142,0,1
3,2006-04-28, BANGLADESH, AUSTRALIA,0.2,0.7522553782095767,0.7125567322239031,25.809523809523807,13.083333333333336,0.029146426092990983,0.05446293494704992,19.415353094742404,9.322617246596067,0.8,0.8814713896457765,0.8989569752281616,29.40909090909091,20.279411764705888,0.029972752043596732,0.044328552803129084,25.92327223185534,18.230318659406397,0,1
6,2006-05-26, WEST INDIES, INDIA,1.0,0.7954545454545454,0.8025889967637541,27.222222222222218,20.666666666666668,0.02922077922077922,0.03883495145631068,21.654040404040398,16.58683926645092,0.0,0.717741935483871,0.7168284789644013,27.8125,12.305555555555555,0.025806451612903226,0.05825242718446603,19.962197580645164,8.820972671700826,1,1
7,2006-05-28, WEST INDIES, INDIA,1.0,0.7463651050080775,0.8006872852233677,28.875,23.3,0.025848142164781908,0.03436426116838488,21.55129240710824,18.65601374570447,0.0,0.7424412094064949,0.7104413347685683,33.15,13.2,0.022396416573348264,0.053821313240043064,24.61192609182531,9.3778256189451,1,1
10,2006-06-24, ENGLAND, SRI LANKA,0.0,0.9937694704049844,0.951219512195122,39.875,13.65,0.024922118380062305,0.06968641114982578,39.62655763239876,12.984146341463413,1.0,0.951219512195122,0.9937694704049844,27.3,19.9375,0.03484320557491289,0.04984423676012461,25.968292682926826,19.81327881619938,0,2
11,2006-06-28, ENGLAND, SRI LANKA,0.0,0.9220985691573926,0.9764065335753176,38.66666666666666,22.41666666666667,0.02384737678855326,0.043557168784029036,35.65447800741918,21.887779794313367,1.0,0.9764065335753176,0.9220985691573926,44.83333333333334,19.33333333333333,0.021778584392014518,0.04769475357710652,43.775559588626734,17.82723900370959,0,2
12,2006-07-01, ENGLAND, SRI LANKA,0.0,0.9462592202318231,0.9705188679245284,40.81818181818182,18.704545454545453,0.023182297154899896,0.051886792452830184,38.6245808985535,18.153114279588337,1.0,0.9705188679245284,0.9462592202318231,37.40909090909091,20.40909090909091,0.025943396226415096,0.046364594309799785,36.306228559176674,19.31229044927675,0,2
13,2006-09-02, ENGLAND, PAKISTAN,0.0,0.9674603174603176,1.0513290559120074,42.03448275862068,23.89583333333333,0.023015873015873014,0.04399633363886343,40.66669403393541,25.12238389856401,0.6666666666666666,0.7552447552447552,0.759075907590759,32.4,13.8,0.023310023310023312,0.055005500550055014,24.469930069930072,10.475247524752476,0,2
14,2006-09-05, ENGLAND, PAKISTAN,0.0,0.9214903526280772,0.9984825493171472,35.512820512820504,24.37037037037037,0.02594810379241517,0.0409711684370258,32.72472149717659,24.333389535210475,0.75,0.7529953917050691,0.7430555555555556,35.52173913043478,12.228571428571426,0.02119815668202765,0.06076388888888889,26.74770587056702,9.086507936507935,0,2
17,2006-09-14, INDIA, WEST INDIES,0.0,0.7523012552301255,0.7349397590361446,29.966666666666665,14.758064516129034,0.02510460251046025,0.049799196787148586,22.54396094839609,10.846288379323747,1.0,0.7668449197860963,0.7941176470588235,32.59090909090909,17.55,0.023529411764705882,0.045248868778280535,24.99217306757414,13.936764705882352,0,2
19,2006-09-20, INDIA, WEST INDIES,0.0,0.8010610079575596,0.7657722987672226,34.51428571428571,16.0,0.02320954907161804,0.04786076867295142,27.648048503220917,12.252356780275562,1.0,0.8207547169811321,0.8536260811709914,36.483870967741936,20.693548387096776,0.02249637155297533,0.04125083166999335,29.944309190505177,17.66455261519971,1,1
23,2006-10-11, BANGLADESH, WEST INDIES,0.0,0.9679487179487181,0.8307210031347962,37.75,14.722222222222221,0.02564102564102564,0.056426332288401264,36.5400641025641,12.230059212817832,0.0,0.5255813953488372,0.7766990291262136,11.3,20.0,0.04651162790697674,0.03883495145631068,5.93906976744186,15.533980582524274,0,3
24,2006-10-14, SRI LANKA, WEST INDIES,1.0,1.001418439716312,0.9675572519083968,42.78787878787879,20.55405405405405,0.023404255319148932,0.047073791348600506,42.84857081452826,19.887224056117184,0.5,0.6281179138321995,0.6762225969645869,27.7,12.53125,0.022675736961451247,0.05396290050590219,17.398866213151926,8.473914418212479,1,0
25,2006-10-15, INDIA, ENGLAND,0.0,0.7090909090909091,0.7076411960132891,19.5,10.65,0.03636363636363636,0.0664451827242525,13.827272727272728,7.536378737541527,1.0,0.6233974358974359,0.8115942028985508,22.882352941176467,21.777777777777782,0.027243589743589744,0.037267080745341616,14.264800150829565,17.674718196457327,1,1
26,2006-10-16, NEW ZEALAND, SOUTH AFRICA,0.5,0.7266553480475382,0.6719056974459725,21.4,10.058823529411764,0.03395585738539898,0.06679764243614933,15.550424448217314,6.75858083901537,0.5,1.034351145038168,1.0783645655877343,38.714285714285715,16.657894736842106,0.0267175572519084,0.06473594548551959,40.044165757906214,17.963283421500947,1,0
28,2006-10-18, AUSTRALIA, WEST INDIES,0.6666666666666666,0.7914847161572053,0.7271589486858573,32.95454545454545,10.75925925925926,0.024017467248908297,0.06758448060075094,26.083019055180632,7.823691651601538,0.3333333333333333,0.6857142857142857,0.6096324461343473,32.72727272727273,9.25,0.02095238095238095,0.06590621039290241,22.441558441558442,5.639100126742713,0,1
29,2006-10-20, NEW ZEALAND, SRI LANKA,0.5,0.7266553480475382,0.6719056974459725,21.4,10.058823529411764,0.03395585738539898,0.06679764243614933,15.550424448217314,6.75858083901537,0.0,0.8585858585858586,0.8241042345276873,42.5,12.65,0.020202020202020204,0.06514657980456026,36.48989898989899,10.424918566775245,0,2
30,2006-10-21, AUSTRALIA, ENGLAND,0.5,0.7860655737704918,0.7245724572457246,34.25,11.180555555555555,0.022950819672131147,0.06480648064806481,26.922745901639342,8.101122612261227,0.6666666666666666,0.6365883807169345,0.730225988700565,22.391304347826086,13.605263157894735,0.028430160692212613,0.05367231638418079,14.254044176922662,9.934916741005054,1,0
31,2006-10-24, SOUTH AFRICA, SRI LANKA,0.5,1.034351145038168,1.0783645655877343,38.714285714285715,16.657894736842106,0.0267175572519084,0.06473594548551959,40.044165757906214,17.963283421500947,0.5,0.8019047619047619,0.6741935483870968,46.77777777777778,10.45,0.017142857142857144,0.06451612903225806,37.51132275132275,7.045322580645161,1,0
32,2006-10-25, NEW ZEALAND, PAKISTAN,0.3333333333333333,0.6574279379157428,0.6892808683853461,19.766666666666666,12.7,0.03325942350332594,0.0542740841248304,12.995158906134515,8.753867028493893,0.5,0.8143712574850299,0.6704918032786885,24.0,13.633333333333333,0.033932135728542916,0.049180327868852465,19.54491017964072,9.141038251366119,1,0
33,2006-10-26, INDIA, WEST INDIES,0.5,0.64,0.6975308641975309,16.0,10.59375,0.04,0.06584362139917696,10.24,7.389467592592593,0.5,0.6977299880525687,0.6541628545288197,29.2,11.171875,0.023894862604540025,0.0585544373284538,20.373715651135004,7.308225640439158,0,1
34,2006-10-27, PAKISTAN, SOUTH AFRICA,0.3333333333333333,0.7997465145754119,0.7440087145969498,23.37037037037037,15.522727272727273,0.034220532319391636,0.04793028322440087,18.69037224804018,11.549044365220835,0.6666666666666666,0.916867469879518,0.9336550060313632,33.08695652173913,13.344827586206893,0.02771084337349397,0.06996381182147167,30.336354112100576,12.4594650804875,0,1
35,2006-10-28, ENGLAND, WEST INDIES,0.5,0.6580211335254563,0.6950354609929078,25.37037037037037,11.827586206896553,0.025936599423631124,0.058763931104356626,16.69423986907176,8.220591831743702,0.6,0.7044463818657367,0.6676156583629893,29.92592592592593,11.439024390243905,0.023539668700959027,0.058362989323843414,21.081210242500568,7.636871799322975,1,0
36,2006-10-29, INDIA, AUSTRALIA,0.3333333333333333,0.6687192118226601,0.7072864321608041,18.724137931034484,12.23913043478261,0.03571428571428571,0.05778894472361809,12.521190759300154,8.656570897968102,0.6,0.7525016677785191,0.7259865971705137,29.684210526315788,12.1875,0.025350233488992662,0.05956813104988831,22.337417927741303,8.847961653015636,0,1
39,2006-11-05, AUSTRALIA, WEST INDIES,1.0,0.7692307692307693,0.7103448275862069,26.66666666666667,10.3,0.02884615384615385,0.06896551724137931,20.512820512820515,7.316551724137932,1.0,0.9632352941176472,0.8269230769230769,52.4,16.125,0.018382352941176468,0.05128205128205128,50.47352941176471,13.334134615384615,1,0
40,2006-11-22, SOUTH AFRICA, INDIA,0.6,0.8529638183217859,0.8864442867281759,27.02439024390244,14.86904761904762,0.031562740569668984,0.059616749467707585,23.050827090257048,13.18058231099395,0.25,0.7040000000000001,0.7532347504621072,21.405405405405407,15.092592592592592,0.032888888888888884,0.049907578558225515,15.069405405405405,11.368265215307732,1,0
43,2006-12-03, SOUTH AFRICA, INDIA,1.0,0.8420195439739414,0.6755102040816326,34.46666666666667,8.275,0.024429967426710098,0.08163265306122447,29.021606948968515,5.589846938775509,0.0,0.6877637130801688,0.7993421052631579,16.3,15.1875,0.04219409282700422,0.05263157894736842,11.210548523206752,12.14000822368421,1,1
